request_api_key,request_id,request_status,request_start,request_end,request_duration,prompt_tokens,completion_tokens,total_tokens
aem-sidekick-genai-assistant,None,200,2024-07-03 19:37,2024-07-03 19:37,3.247351,3532,64,3596
aem-sidekick-genai-assistant,None,200,2024-07-03 19:37,2024-07-03 19:37,3.562001,2682,68,2750
aem-sidekick-genai-assistant,None,200,2024-07-03 19:38,2024-07-03 19:38,3.23469,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:48,2024-07-03 19:48,3.691239,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:49,2024-07-03 19:49,3.146398,1793,58,1851
aem-sidekick-genai-assistant,None,200,2024-07-03 19:53,2024-07-03 19:53,3.474253,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 19:54,2024-07-03 19:54,2.998375,1793,64,1857
aem-sidekick-genai-assistant,None,200,2024-07-03 19:54,2024-07-03 19:55,12.012907,2239,310,2549
aem-sidekick-genai-assistant,None,200,2024-07-03 19:55,2024-07-03 19:55,4.882962,3779,84,3863
aem-sidekick-genai-assistant,None,200,2024-07-03 19:56,2024-07-03 19:56,17.078287,1625,331,1956
aem-sidekick-genai-assistant,None,200,2024-07-03 19:57,2024-07-03 19:57,5.317517,3741,83,3824
aem-sidekick-genai-assistant,None,200,2024-07-03 19:58,2024-07-03 19:58,3.097746,370,85,455
aem-sidekick-genai-assistant,None,200,2024-07-03 19:58,2024-07-03 19:58,4.699726,4565,72,4637
aem-sidekick-genai-assistant,None,200,2024-07-03 19:59,2024-07-03 19:59,4.122486,4612,68,4680
aem-sidekick-genai-assistant,None,200,2024-07-03 23:38,2024-07-03 23:38,3.750509,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-03 23:38,2024-07-03 23:39,17.68999,1793,440,2233
aem-sidekick-genai-assistant,None,200,2024-07-03 23:39,2024-07-03 23:39,4.004242,2239,67,2306
aem-sidekick-genai-assistant,None,200,2024-07-03 23:40,2024-07-03 23:40,4.910538,3532,99,3631
aem-sidekick-genai-assistant,None,200,2024-07-03 23:41,2024-07-03 23:41,3.62437,2682,68,2750
aem-sidekick-genai-assistant,None,200,2024-07-03 23:42,2024-07-03 23:42,4.405075,3779,90,3869
aem-sidekick-genai-assistant,None,200,2024-07-03 23:43,2024-07-03 23:43,3.518189,1625,66,1691
aem-sidekick-genai-assistant,None,200,2024-07-03 23:43,2024-07-03 23:43,3.869745,3741,83,3824
aem-sidekick-genai-assistant,None,200,2024-07-04 00:06,2024-07-04 00:06,3.101707,2631,65,2696
aem-sidekick-genai-assistant,None,200,2024-07-04 00:07,2024-07-04 00:07,2.730819,1793,58,1851
aem-sidekick-genai-assistant,None,200,2024-07-04 00:08,2024-07-04 00:08,3.674716,2239,67,2306
aem-sidekick-genai-assistant,None,200,2024-07-04 00:09,2024-07-04 00:09,4.925497,3532,64,3596
aem-sidekick-genai-assistant,None,200,2024-07-04 00:10,2024-07-04 00:10,2.983923,2682,62,2744
aem-sidekick-genai-assistant,None,200,2024-07-04 00:11,2024-07-04 00:11,5.620456,3779,90,3869
aem-sidekick-genai-assistant,None,200,2024-07-04 00:12,2024-07-04 00:12,2.91685,1625,66,1691
aem-sidekick-genai-assistant,None,200,2024-07-04 00:12,2024-07-04 00:12,4.24737,3741,83,3824
aem-sidekick-genai-assistant,None,200,2024-07-04 00:13,2024-07-04 00:13,3.340879,370,81,451
aem-sidekick-genai-assistant,None,200,2024-07-04 00:13,2024-07-04 00:13,3.789632,4565,76,4641
aem-sidekick-genai-assistant,None,200,2024-07-04 00:14,2024-07-04 00:14,4.01481,4612,45,4657
aem-sidekick-genai-assistant,None,200,2024-07-04 00:16,2024-07-04 00:16,4.806925,1324,141,1465
aem-sidekick-genai-assistant,None,200,2024-07-04 00:17,2024-07-04 00:17,2.432614,937,43,980
aem-sidekick-genai-assistant,None,200,2024-07-04 00:17,2024-07-04 00:17,12.480685,1034,319,1353
aem-sidekick-genai-assistant,None,200,2024-07-04 00:19,2024-07-04 00:19,3.082391,904,44,948
aem-sidekick-genai-assistant,None,200,2024-07-04 00:21,2024-07-04 00:21,3.871657,2806,94,2900
aem-sidekick-genai-assistant,None,200,2024-07-04 00:22,2024-07-04 00:23,3.052104,1421,53,1474
aem-sidekick-genai-assistant,None,200,2024-07-04 00:23,2024-07-04 00:23,5.079022,2380,137,2517
aem-sidekick-genai-assistant,None,200,2024-07-04 00:25,2024-07-04 00:25,4.442275,2644,59,2703
aem-sidekick-genai-assistant,None,200,2024-07-04 00:28,2024-07-04 00:28,4.398033,4835,69,4904
aem-sidekick-genai-assistant,None,200,2024-07-04 00:30,2024-07-04 00:30,3.567565,2592,76,2668
aem-sidekick-genai-assistant,None,200,2024-07-04 00:31,2024-07-04 00:31,2.859808,2498,58,2556
aem-sidekick-genai-assistant,None,200,2024-07-04 00:32,2024-07-04 00:32,6.597675,5727,159,5886
aem-sidekick-genai-assistant,None,200,2024-07-04 00:33,2024-07-04 00:33,3.232201,3493,54,3547
aem-sidekick-genai-assistant,None,200,2024-07-04 00:34,2024-07-04 00:34,3.386757,151,62,213
aem-sidekick-genai-assistant,None,200,2024-07-04 00:34,2024-07-04 00:34,6.183417,2073,178,2251
aem-sidekick-genai-assistant,None,200,2024-07-04 00:36,2024-07-04 00:36,1.814879,117,35,152
aem-sidekick-genai-assistant,None,200,2024-07-04 00:37,2024-07-04 00:37,3.096081,2167,56,2223
aem-sidekick-genai-assistant,None,200,2024-07-04 00:37,2024-07-04 00:37,2.965313,945,71,1016
aem-sidekick-genai-assistant,None,200,2024-07-04 00:38,2024-07-04 00:38,2.830508,2795,52,2847
aem-sidekick-genai-assistant,None,200,2024-07-04 00:38,2024-07-04 00:38,3.509554,2101,64,2165
aem-sidekick-genai-assistant,None,200,2024-07-04 00:39,2024-07-04 00:39,2.316384,942,48,990
aem-sidekick-genai-assistant,None,200,2024-07-04 00:40,2024-07-04 00:40,13.295381,3014,426,3440
aem-sidekick-genai-assistant,None,200,2024-07-04 00:40,2024-07-04 00:40,3.532774,2743,71,2814
aem-sidekick-genai-assistant,None,200,2024-07-04 00:41,2024-07-04 00:41,3.359034,2723,68,2791
aem-sidekick-genai-assistant,None,200,2024-07-04 00:41,2024-07-04 00:41,2.440293,2859,60,2919
aem-sidekick-genai-assistant,None,200,2024-07-04 00:43,2024-07-04 00:43,3.368198,2292,81,2373
aem-sidekick-genai-assistant,None,200,2024-07-04 00:44,2024-07-04 00:44,4.00822,2241,70,2311
aem-sidekick-genai-assistant,None,200,2024-07-04 00:44,2024-07-04 00:44,2.394687,2201,60,2261
aem-sidekick-genai-assistant,None,200,2024-07-04 00:45,2024-07-04 00:45,4.072637,3055,95,3150
aem-sidekick-genai-assistant,None,200,2024-07-04 00:46,2024-07-04 00:46,3.166827,2283,72,2355
aem-sidekick-genai-assistant,None,200,2024-07-04 00:46,2024-07-04 00:46,3.018932,1071,67,1138
aem-sidekick-genai-assistant,None,200,2024-07-04 00:47,2024-07-04 00:47,3.43178,2461,78,2539
aem-sidekick-genai-assistant,None,200,2024-07-04 00:48,2024-07-04 00:48,4.24009,3615,81,3696
aem-sidekick-genai-assistant,None,200,2024-07-04 00:49,2024-07-04 00:49,2.829837,2204,61,2265
aem-sidekick-genai-assistant,None,200,2024-07-04 00:50,2024-07-04 00:50,3.324922,1110,70,1180
aem-sidekick-genai-assistant,None,200,2024-07-04 00:50,2024-07-04 00:50,15.022764,3311,442,3753
aem-sidekick-genai-assistant,None,200,2024-07-04 00:52,2024-07-04 00:52,3.466595,2032,73,2105
aem-sidekick-genai-assistant,None,200,2024-07-04 00:53,2024-07-04 00:53,3.2518,2021,58,2079
aem-sidekick-genai-assistant,None,200,2024-07-04 00:53,2024-07-04 00:53,2.651939,1876,52,1928
aem-sidekick-genai-assistant,None,200,2024-07-04 00:54,2024-07-04 00:54,2.734296,1600,62,1662
aem-sidekick-genai-assistant,None,200,2024-07-04 00:55,2024-07-04 00:55,3.047972,1984,63,2047
aem-sidekick-genai-assistant,None,200,2024-07-04 00:56,2024-07-04 00:56,4.359452,1628,61,1689
aem-sidekick-genai-assistant,None,200,2024-07-04 00:56,2024-07-04 00:56,3.22723,1805,77,1882
aem-sidekick-genai-assistant,None,200,2024-07-04 00:57,2024-07-04 00:57,4.56609,1982,76,2058
aem-sidekick-genai-assistant,None,200,2024-07-04 00:58,2024-07-04 00:58,2.849447,1782,63,1845
aem-sidekick-genai-assistant,None,200,2024-07-04 00:59,2024-07-04 00:59,2.791602,1957,63,2020
aem-sidekick-genai-assistant,None,200,2024-07-04 00:59,2024-07-04 00:59,4.567547,1976,104,2080
aem-sidekick-genai-assistant,None,200,2024-07-04 01:00,2024-07-04 01:00,4.07602,1871,55,1926
aem-sidekick-genai-assistant,None,200,2024-07-04 01:01,2024-07-04 01:01,2.801415,1574,65,1639
aem-sidekick-genai-assistant,None,200,2024-07-04 01:02,2024-07-04 01:02,3.816658,2268,81,2349
aem-sidekick-genai-assistant,None,200,2024-07-04 01:03,2024-07-04 01:03,3.335257,1526,84,1610
aem-sidekick-genai-assistant,None,200,2024-07-04 01:03,2024-07-04 01:03,3.594748,1628,65,1693
aem-sidekick-genai-assistant,None,200,2024-07-04 01:04,2024-07-04 01:04,3.750017,1826,96,1922
aem-sidekick-genai-assistant,None,200,2024-07-04 01:05,2024-07-04 01:05,3.461974,1947,83,2030
aem-sidekick-genai-assistant,None,200,2024-07-04 01:05,2024-07-04 01:05,4.081558,1801,78,1879
aem-sidekick-genai-assistant,None,200,2024-07-04 01:06,2024-07-04 01:06,3.476465,1852,63,1915
aem-sidekick-genai-assistant,None,200,2024-07-04 01:07,2024-07-04 01:07,4.836401,2059,89,2148
aem-sidekick-genai-assistant,None,200,2024-07-04 01:08,2024-07-04 01:08,3.620672,2609,57,2666
aem-sidekick-genai-assistant,None,200,2024-07-04 01:09,2024-07-04 01:09,4.412741,2156,115,2271
aem-sidekick-genai-assistant,None,200,2024-07-04 01:10,2024-07-04 01:10,3.422011,1671,67,1738
aem-sidekick-genai-assistant,None,200,2024-07-04 01:11,2024-07-04 01:11,2.77805,1447,62,1509
aem-sidekick-genai-assistant,None,200,2024-07-04 01:12,2024-07-04 01:12,3.20139,1369,67,1436
aem-sidekick-genai-assistant,None,200,2024-07-04 01:12,2024-07-04 01:12,3.17973,1970,70,2040
aem-sidekick-genai-assistant,None,200,2024-07-04 01:13,2024-07-04 01:13,3.047695,1462,66,1528
aem-sidekick-genai-assistant,None,200,2024-07-04 01:14,2024-07-04 01:14,10.448433,1908,58,1966
aem-sidekick-genai-assistant,None,200,2024-07-04 01:14,2024-07-04 01:15,4.392227,2354,88,2442
aem-sidekick-genai-assistant,None,200,2024-07-04 01:15,2024-07-04 01:15,2.988606,1232,65,1297
aem-sidekick-genai-assistant,None,200,2024-07-04 01:16,2024-07-04 01:16,3.04177,2169,56,2225
aem-sidekick-genai-assistant,None,200,2024-07-04 01:17,2024-07-04 01:17,3.091086,2171,68,2239
aem-sidekick-genai-assistant,None,200,2024-07-04 01:17,2024-07-04 01:17,3.570914,2171,51,2222
aem-sidekick-genai-assistant,None,200,2024-07-04 01:18,2024-07-04 01:18,2.926499,1292,65,1357
aem-sidekick-genai-assistant,None,200,2024-07-04 01:19,2024-07-04 01:19,2.844977,1292,69,1361
aem-sidekick-genai-assistant,None,200,2024-07-04 01:20,2024-07-04 01:20,7.266765,1496,177,1673
aem-sidekick-genai-assistant,None,200,2024-07-04 01:20,2024-07-04 01:20,2.728303,1857,56,1913
aem-sidekick-genai-assistant,None,200,2024-07-04 01:21,2024-07-04 01:21,3.00275,1623,55,1678
aem-sidekick-genai-assistant,None,200,2024-07-04 01:22,2024-07-04 01:22,3.003772,1390,70,1460
aem-sidekick-genai-assistant,None,200,2024-07-04 01:23,2024-07-04 01:23,3.432509,1314,83,1397
aem-sidekick-genai-assistant,None,200,2024-07-04 01:24,2024-07-04 01:24,2.664336,1193,61,1254
aem-sidekick-genai-assistant,None,200,2024-07-04 01:24,2024-07-04 01:25,3.327205,1244,67,1311
aem-sidekick-genai-assistant,None,200,2024-07-04 01:25,2024-07-04 01:25,2.956764,1225,71,1296
aem-sidekick-genai-assistant,None,200,2024-07-04 01:26,2024-07-04 01:26,2.795807,1199,65,1264
aem-sidekick-genai-assistant,None,200,2024-07-04 01:27,2024-07-04 01:27,2.864596,1198,67,1265
aem-sidekick-genai-assistant,None,200,2024-07-04 01:27,2024-07-04 01:27,2.677706,1190,59,1249
aem-sidekick-genai-assistant,None,200,2024-07-04 01:28,2024-07-04 01:28,3.163081,1195,61,1256
aem-sidekick-genai-assistant,None,200,2024-07-04 01:29,2024-07-04 01:29,3.113916,1219,71,1290
aem-sidekick-genai-assistant,None,200,2024-07-04 01:29,2024-07-04 01:29,3.150024,1197,65,1262
aem-sidekick-genai-assistant,None,200,2024-07-04 01:30,2024-07-04 01:30,2.835006,1186,57,1243
aem-sidekick-genai-assistant,None,200,2024-07-04 01:31,2024-07-04 01:31,2.644294,1182,59,1241
aem-sidekick-genai-assistant,None,200,2024-07-04 01:31,2024-07-04 01:32,6.215885,1190,177,1367
aem-sidekick-genai-assistant,None,200,2024-07-04 01:32,2024-07-04 01:32,2.833386,1185,57,1242
aem-sidekick-genai-assistant,None,200,2024-07-04 01:32,2024-07-04 01:32,2.690512,976,63,1039
aem-sidekick-genai-assistant,None,200,2024-07-04 01:33,2024-07-04 01:33,3.087086,1419,69,1488
aem-sidekick-genai-assistant,None,200,2024-07-04 01:34,2024-07-04 01:34,2.979079,1417,71,1488
aem-sidekick-genai-assistant,None,200,2024-07-04 01:35,2024-07-04 01:35,6.814502,1484,186,1670
aem-sidekick-genai-assistant,None,200,2024-07-04 01:35,2024-07-04 01:35,5.21717,1412,154,1566
aem-sidekick-genai-assistant,None,200,2024-07-04 01:36,2024-07-04 01:36,2.816429,1371,67,1438
aem-sidekick-genai-assistant,None,200,2024-07-04 01:37,2024-07-04 01:37,3.531307,1481,79,1560
aem-sidekick-genai-assistant,None,200,2024-07-04 01:38,2024-07-04 01:38,3.383695,1413,69,1482
aem-sidekick-genai-assistant,None,200,2024-07-04 01:39,2024-07-04 01:39,5.439464,1412,154,1566
aem-sidekick-genai-assistant,None,200,2024-07-04 01:39,2024-07-04 01:40,3.921063,1371,67,1438
aem-sidekick-genai-assistant,None,200,2024-07-04 01:40,2024-07-04 01:40,4.620137,1411,134,1545
aem-sidekick-genai-assistant,None,200,2024-07-04 01:41,2024-07-04 01:41,3.287019,1480,83,1563
aem-sidekick-genai-assistant,None,200,2024-07-04 01:42,2024-07-04 01:42,3.096993,1409,71,1480
aem-sidekick-genai-assistant,None,200,2024-07-04 01:43,2024-07-04 01:43,3.210089,1372,77,1449
aem-sidekick-genai-assistant,None,200,2024-07-04 01:43,2024-07-04 01:44,3.673577,1473,75,1548
aem-sidekick-genai-assistant,None,200,2024-07-04 01:44,2024-07-04 01:44,3.655448,1406,97,1503
aem-sidekick-genai-assistant,None,200,2024-07-04 01:45,2024-07-04 01:45,3.565717,1482,85,1567
aem-sidekick-genai-assistant,None,200,2024-07-04 01:45,2024-07-04 01:45,3.619952,1365,67,1432
aem-sidekick-genai-assistant,None,200,2024-07-04 01:46,2024-07-04 01:46,3.132128,1474,77,1551
aem-sidekick-genai-assistant,None,200,2024-07-04 01:47,2024-07-04 01:47,3.123837,1407,69,1476
aem-sidekick-genai-assistant,None,200,2024-07-04 01:48,2024-07-04 01:48,3.080549,1370,75,1445
aem-sidekick-genai-assistant,None,200,2024-07-04 01:49,2024-07-04 01:49,5.521752,1402,98,1500
aem-sidekick-genai-assistant,None,200,2024-07-04 01:49,2024-07-04 01:49,4.713262,1361,98,1459
aem-sidekick-genai-assistant,None,200,2024-07-04 01:50,2024-07-04 01:50,3.125448,1471,77,1548
aem-sidekick-genai-assistant,None,200,2024-07-04 01:51,2024-07-04 01:51,4.510606,1361,65,1426
aem-sidekick-genai-assistant,None,200,2024-07-04 01:52,2024-07-04 01:52,7.716888,1461,181,1642
aem-sidekick-genai-assistant,None,200,2024-07-04 01:52,2024-07-04 01:52,3.580456,1482,71,1553
aem-sidekick-genai-assistant,None,200,2024-07-04 01:53,2024-07-04 01:53,3.026226,1372,63,1435
aem-sidekick-genai-assistant,None,200,2024-07-04 01:54,2024-07-04 01:54,2.966305,1480,69,1549
aem-sidekick-genai-assistant,None,200,2024-07-04 01:55,2024-07-04 01:55,2.766015,1370,61,1431
aem-sidekick-genai-assistant,None,200,2024-07-04 01:56,2024-07-04 01:56,3.153934,1472,65,1537
aem-sidekick-genai-assistant,None,200,2024-07-04 01:56,2024-07-04 01:56,5.03,1363,134,1497
aem-sidekick-genai-assistant,None,200,2024-07-04 01:57,2024-07-04 01:57,4.217179,1474,65,1539
aem-sidekick-genai-assistant,None,200,2024-07-04 01:58,2024-07-04 01:58,2.588021,1364,57,1421
aem-sidekick-genai-assistant,None,200,2024-07-04 01:59,2024-07-04 01:59,2.82265,1469,65,1534
aem-sidekick-genai-assistant,None,200,2024-07-04 01:59,2024-07-04 01:59,2.601434,1361,51,1412
aem-sidekick-genai-assistant,None,200,2024-07-04 02:00,2024-07-04 02:00,3.349548,1320,88,1408
aem-sidekick-genai-assistant,None,200,2024-07-04 02:01,2024-07-04 02:01,3.535429,1317,87,1404
aem-sidekick-genai-assistant,None,200,2024-07-04 02:01,2024-07-04 02:01,3.26759,1310,82,1392
aem-sidekick-genai-assistant,None,200,2024-07-04 02:02,2024-07-04 02:02,4.332762,1320,84,1404
aem-sidekick-genai-assistant,None,200,2024-07-04 02:02,2024-07-04 02:02,3.389122,1309,84,1393
aem-sidekick-genai-assistant,None,200,2024-07-04 02:03,2024-07-04 02:03,3.649965,1242,74,1316
aem-sidekick-genai-assistant,None,200,2024-07-04 02:03,2024-07-04 02:03,3.600768,1247,91,1338
aem-sidekick-genai-assistant,None,200,2024-07-04 02:03,2024-07-04 02:04,3.862099,1245,75,1320
